,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,DerateCapRes_1,DerateCapRes_2,DerateCapRes_3,DerateCapRes_4,DerateCapRes_5,DerateCapRes_6,DerateCapRes_7,DerateCapRes_8,DerateCapRes_9,DerateCapRes_10,CapRes_Excl_1,CapRes_Excl_2,CapRes_Excl_3,CapRes_Excl_4,CapRes_Excl_5,CapRes_Excl_6,CapRes_Excl_7,CapRes_Excl_8,CapRes_Excl_9,CapRes_Excl_10,Line_Max_Flow_Possible_MW,WACC,Capital_Recovery_Period
24,z25,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,35635.100000000006,1697,MISS_to_SPPS,40930,844974,0.0618,16970,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,-1,0,1,0,0,0,0,100000,0.044,60
25,z26,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,4092.2,4092,MISS_to_SRCE,49165,1014989,0.0569,40920,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,1,-1,0,0,0,100000,0.044,60
26,,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,20890.199999999997,891,MISS_to_SRSE,51809,1069576,0.0517,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,1,-1,0,0,0,100000,0.044,60
27,,28,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.2,200,MISW_to_NWPP,142782,2947664,0.2241,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,-1,0,0,1,0,0,0,0,100000,0.044,60
28,,29,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,11219.4,3200,MISW_to_PJMC,40280,831556,0.0557,32000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,1,0,-1,0,0,100000,0.044,60
29,,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1442.5,0,MISW_to_SPPC,64160,1324545,0.0774,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,-1,0,1,0,0,0,0,100000,0.044,60
30,,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,5628.2,5512,MISW_to_SPPN,59217,1222510,0.0671,55120,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,-1,0,1,0,0,0,0,100000,0.044,60
31,,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,3832.8,400,NWPP_to_RMRG,89320,1843976,0.1319,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
32,,33,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3863.9,2489,NYCW_to_NYUP,87192,1800029,0.0834,24890,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
33,,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,11227.8,660,NYCW_to_PJME,55836,1152711,0.028,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,-1,1,0,100000,0.044,60
34,,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,7544.5,1255,NYUP_to_PJME,42535,878123,0.0825,12550,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,-1,1,0,100000,0.044,60
35,,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,10123.4,980,PJMC_to_PJMW,33813,698063,0.0736,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
36,,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,9931.7,1200,PJMD_to_PJME,23414,483362,0.0481,12000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
37,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,6930.1,6930,PJMD_to_PJMW,49053,1012675,0.0988,69300,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
38,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,1282.2,1000,PJMD_to_SRCA,46603,962099,0.1114,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,-1,1,0,0,100000,0.044,60
39,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,22525.3,3885,PJME_to_PJMW,49371,1019231,0.0846,38850,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
40,,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1219.2,1219,PJMW_to_SRCA,68774,1419804,0.142,12190,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,-1,1,0,0,100000,0.044,60
41,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,5701.0,3333,PJMW_to_SRCE,48728,1005971,0.1101,33330,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,-1,1,0,0,100000,0.044,60
42,,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,13724.7,210,RMRG_to_SPPC,35315,729067,0.0534,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,1,-1,0,0,0,0,0,0,100000,0.044,60
43,,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,10403.8,410,RMRG_to_SPPN,31511,650524,0.0445,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,1,-1,0,0,0,0,0,0,100000,0.044,60
44,,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,7419.6,614,RMRG_to_SRSG,58263,1202803,0.1231,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,-1,1,0,0,0,0,0,0,0,100000,0.044,60
45,,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,5020.5,1433,SPPC_to_SPPN,14578,300951,0.0195,14330,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
46,,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,7120.2,3372,SPPC_to_SPPS,24788,511728,0.0339,33720,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
47,,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,6207.5,0,SPPN_to_SPPS,29998,619291,0.0387,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
48,,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,6508.1,1010,SPPS_to_SRSG,57943,1196207,0.1276,10100,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,-1,0,1,0,0,0,0,0,0,100000,0.044,60
49,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,20591.4,600,SPPS_to_TRE,30240,624286,0.0422,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,100000,0.044,60
50,,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,20206.0,220,SPPS_to_TRE_WEST,27005,557510,0.0339,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,100000,0.044,60
51,,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,4791.1,216,SRCA_to_SRCE,74042,1528569,0.1155,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
52,,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1400.1999999999998,1400,SRCA_to_SRSE,62897,1298487,0.1037,14000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
53,,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,3668.3,3196,SRCE_to_SRSE,56687,1170284,0.0603,31960,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
54,,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,16529.399999999998,16529,TRE_to_TRE_WEST,38718,799317,0.0566,165290,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
55,,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,40.2,0,NWPP_to_SPPN,103169,2129864,0.1685,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,1,-1,0,0,0,0,0,0,100000,0.044,60
56,,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,15578.3,0,SRSG_to_TRE,70596,1457411,0.1456,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,1,0,0,-1,0,0,0,0,0,100000,0.044,60
